timestamp,input_type,object_count,object_classes,object_confidences,gemini_feedback,threat_level,output_file
2025-04-26T18:47:48.034201,video,1,MHAW,33.8,ALERT: MHAW units (33.8% detected).  Threat level: MEDIUM.  Location data pending.  Monitor all MHAW activity and maintain heightened readiness.  Awaiting further intel.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T18:51:08.363663,video,1,MHAW,33.8,ALERT: MHAW units (33.8% detected). Threat Level: Medium.  Location data pending.  Maintain situational awareness.  Further updates pending.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T18:53:38.162806,video,1,MHAW,33.8,ALERT: MHAW activity detected (33.8%).  Threat level: MEDIUM.  Location data pending.  All units monitor MHAW movements and maintain heightened situational awareness.  Further updates imminent.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T18:55:27.241734,video,1,MHAW,33.8,ALERT: MHAW units (33.8% detected). Threat Level: Medium.  Location data incomplete; further tracking required.  All units maintain heightened vigilance.  Await further updates.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T18:56:52.958338,video,1,MHAW,33.8,ALERT: MHAW units detected (33.8% of estimated force). Threat level: MEDIUM.  Location data pending.  All units maintain heightened situational awareness.  Await further instructions.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T19:17:48.245556,video,1,MHAW,33.8,ALERT: MHAW units (33.8% detected). Threat Level: Medium.  Location data insufficient for precise targeting.  Maintain situational awareness and prepare for potential escalation.  Further intel pending.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T19:19:01.880586,video,1,MHAW,33.8,ALERT: MHAW units (33.8% detected). Threat Level: Medium.  Location data incomplete; further tracking required.  All units maintain situational awareness and prepare for potential escalation.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T19:22:01.469856,video,1,MHAW,33.8,ALERT: MHAW units (33.8% detected). Threat level: Medium.  Location data incomplete; further analysis pending.  Maintain situational awareness.  Units on standby.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-26T22:39:53.033351,video,1,MHAW,33.8,ALERT: MHAW units detected (33.8% of total).  Threat Level: Medium.  Further location and movement data required for precise assessment.  All units maintain heightened situational awareness and prepare for potential engagement.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg2025-04-27T08:40:47.891753,video,1,MHAW,33.8,ALERT: MHAW units (33.8% detected). Threat Level: Medium.  Location data incomplete; further analysis required.  All units maintain heightened situational awareness and prepare for potential escalation.  Await further instructions.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-27T08:41:03.973456,video,1,MHAW,29.0,ALERT: MHAW units (29%) detected.  Threat Level: Medium.  Location data pending.  All units maintain heightened vigilance and await further instructions.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00003_annotated.jpg
2025-04-27T08:41:25.101601,video,1,MHAW,31.1,ALERT: MHAW activity detected (31.1%). Threat level: Medium.  Units: All.  Location data pending.  Maintain situational awareness and prepare for potential escalation.  Awaiting further intelligence.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00004_annotated.jpg
2025-04-27T09:21:13.195419,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Location data pending.  All units prepare for potential armored engagement.  Awaiting further intel.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T09:27:32.314238,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: Medium.  Location data pending.  All units maintain heightened awareness and prepare for potential engagement.  Awaiting further intel.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T09:28:32.200304,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: Medium.  Awaiting location data for precise targeting.  All units maintain heightened alert status.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T09:34:08.860725,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Awaiting location/movement data.  All units maintain heightened readiness.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T09:38:33.296583,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Location data pending.  All units: Maintain heightened alert and prepare for potential engagement.  Await further location/movement updates.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T09:43:15.867761,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Location data pending.  All units maintain heightened alert status and prepare for potential engagement. Await further instructions.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T09:48:37.185188,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: High.  Awaiting location/movement data. All units prepare for potential engagement.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T10:47:09.836922,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: Medium.  Awaiting location and movement data.  All units maintain situational awareness.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T12:29:37.293266,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Awaiting location/movement data.  All units maintain heightened readiness.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T12:36:45.272206,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Location data pending.  All units: Maintain heightened vigilance and prepare for potential engagement.  Await further instructions.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T12:41:12.456214,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: High.  Location data pending.  All units maintain heightened alert and await further positional information.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T12:44:15.347988,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: MEDIUM.  Awaiting further confirmation and location data. All units maintain situational awareness and prepare for potential engagement.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T12:51:12.350266,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: MEDIUM.  Awaiting further location and movement data for precise targeting.  All units maintain situational awareness.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T12:51:29.429997,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: MEDIUM.  Awaiting location and movement data for precise targeting/response.  All units prepare for potential engagement.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T12:54:55.456384,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Location data pending.  All units maintain heightened alert status and await further intel.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T13:18:36.276328,image,1,HTANK,93.1,ALERT:  HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Awaiting location data. All units maintain heightened readiness.  Further updates pending.,High,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T13:22:49.689808,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: Medium.  Location data pending.  All units maintain heightened alert and await further intel.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T13:50:39.999450,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: MEDIUM.  Awaiting further confirmation on location and movement.  All units maintain situational awareness and prepare for potential engagement.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
2025-04-27T13:53:08.360167,image,1,MHAT,82.7,ALERT: MHAT (82.7% confidence) detected.  Threat Level: Medium.  Location data pending.  All units maintain situational awareness and prepare for potential engagement.  Further updates imminent.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\image_annotated.jpg
2025-04-27T13:59:51.037777,image,1,MHAT,82.7,ALERT: MHAT (82.7% confidence) detected.  Threat Level: Medium.  Location data pending. All units maintain situational awareness and prepare for potential engagement. Await further instructions.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\image_annotated.jpg
2025-04-27T19:54:06.448731,image,1,MHAT,87.4,ALERT: MHAT (87.4% confidence) detected.  Threat Level: Medium.  Location data pending.  All units maintain heightened vigilance and await further instructions.,Medium,C:\Users\aaron.sonnie\Downloads\venus\outputs\image_annotated.jpg
2025-04-27T19:57:49.257543,image,1,MHAT,87.4,ALERT: MHAT units (87.4% confidence) detected.  Threat Level: Medium.  Location data pending.  All units maintain heightened situational awareness and await further intel.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\image_annotated.jpg
2025-04-27T20:17:55.959277,video,1,MHAW,33.8,ALERT: MHAW activity detected (33.8%).  Threat Level: MEDIUM.  Location data pending.  All units maintain heightened vigilance and await further instructions.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00002_annotated.jpg
2025-04-27T20:18:36.311442,video,1,MHAW,29.0,ALERT: MHAW units (29%) detected.  Threat Level: Medium.  Location data pending.  All units maintain situational awareness and prepare for potential engagement.  Awaiting further intel.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00003_annotated.jpg
2025-04-27T20:19:18.776438,video,1,MHAW,31.1,ALERT: MHAW units (31.1% detected). Threat Level: Medium.  Location data incomplete; further analysis required.  All units maintain heightened awareness and situational preparedness.  Awaiting further intel.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00004_annotated.jpg
2025-04-27T20:19:58.950328,video,1,MHAW,39.8,ALERT: MHAW units (39.8% detected) - Threat Level: Medium.  Location data incomplete; further analysis required.  All units maintain situational awareness and prepare for potential escalation.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00005_annotated.jpg
2025-04-27T20:20:37.968545,video,1,MHAW,28.0,ALERT: MHAW units detected (28% confidence). Threat Level: Medium.  Location data pending. Maintain situational awareness.  Further updates imminent.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00006_annotated.jpg
2025-04-27T20:21:17.875629,video,1,MHAW,32.9,ALERT: MHAW activity detected (32.9%). Threat Level: Medium.  Requires further investigation.  Location data pending.  All units maintain situational awareness.,Medium,c:\Users\aaron.sonnie\Downloads\venus\outputs\frame_00009_annotated.jpg
2025-04-28T07:54:33.283584,image,1,HTANK,93.1,ALERT: HTANK (93.1% confidence) detected.  Threat Level: HIGH.  Awaiting further location data. All units prepare for potential armored engagement.,High,c:\Users\aaron.sonnie\Downloads\venus\outputs\q_annotated.jpg
